,company,year,name,resource,page,value
0,Volkswagen Group,2020,CO2 emissions Scope 1,Volkswagen Sustainability Report 2020,88,4340000.0
1,Volkswagen Group,2019,CO2 emissions Scope 1,Volkswagen Sustainability Report 2020,88,4400000.0
2,Volkswagen Group,2020,CO2 emissions Scope 3,Volkswagen Sustainability Report 2020,89,368936120.0
3,Volkswagen Group,2019,CO2 emissions Scope 3,Volkswagen Sustainability Report 2020,89,447420740.0
4,Volkswagen Group,2019,CO2 emissions Scope 3,Volkswagen Sustainability Report 2019,71,447420740.0
5,Volkswagen Group,2018,CO2 emissions Scope 3,Volkswagen Sustainability Report 2019,71,427529210.0
6,Volkswagen Group,2017,CO2 emissions Scope 3,Volkswagen Sustainability Report 2018,71,423343361.0
7,BMW Group,2016,CO2 emissions Scope 3,BMW Group Report 2020,344,69388735.0
8,BMW Group,2017,CO2 emissions Scope 3,BMW Group Report 2020,344,71714741.0
9,BMW Group,2018,CO2 emissions Scope 3,BMW Group Report 2020,344,73093077.0
10,BMW Group,2019,CO2 emissions Scope 3,BMW Group Report 2020,344,75042286.0
11,BMW Group,2020,CO2 emissions Scope 3,BMW Group Report 2020,344,65100863.0
12,Microsoft Corporation,2017,CO2 emissions Scope 3,Microsoft 2020 Environmental Sustainability Report,77,1860.0
13,Microsoft Corporation,2018,CO2 emissions Scope 3,Microsoft 2020 Environmental Sustainability Report,77,1704.0
14,Microsoft Corporation,2019,CO2 emissions Scope 3,Microsoft 2020 Environmental Sustainability Report,77,1721.0
15,Microsoft Corporation,2020,CO2 emissions Scope 3,Microsoft 2020 Environmental Sustainability Report,77,1584.0
16,H&M Group,2018,CO2 emissions Scope 3,H&M Group Sustainability Performance Report 2019,53,17662000.0
17,H&M Group,2019,CO2 emissions Scope 3,H&M Group Sustainability Performance Report 2020,52,17387000.0
18,Toyota Motor Corporation,2017,CO2 emissions Scope 1,Toyota Environmental Report 2020,37,1750000.0
19,Toyota Motor Corporation,2017,CO2 emissions Scope 2,Toyota Environmental Report 2020,37,4190000.0
20,Toyota Motor Corporation,2017,CO2 emissions Scope 3,Toyota Environmental Report 2020,37,412010000.0
21,Toyota Motor Corporation,2018,CO2 emissions Scope 1,Toyota Environmental Report 2020,37,1920000.0
22,Toyota Motor Corporation,2018,CO2 emissions Scope 2,Toyota Environmental Report 2020,37,4080000.0
