name,company,date,year,link
Volkswagen Sustainability Report 2018,Volkswagen Group,2019-03-10,2018,https://web.archive.org/web/20201211194012/https://www.volkswagenag.com/presence/nachhaltigkeit/documents/sustainability-report/2018/Nonfinancial_Report_2018_e.pdf
Volkswagen Sustainability Report 2019,Volkswagen Group,2020-03-17,2019,https://web.archive.org/web/20210122090622/https://www.volkswagenag.com/presence/nachhaltigkeit/documents/sustainability-report/2019/Nonfinancial_Report_2019_e.pdf
Volkswagen Sustainability Report 2020,Volkswagen Group,2021-03-16,2020,https://web.archive.org/web/20210407210403/https://www.volkswagenag.com/presence/nachhaltigkeit/documents/sustainability-report/2020/Nonfinancial_Report_2020_e.pdf
Microsoft 2020 Environmental Sustainability Report,Microsoft Corporation,,2020,https://web.archive.org/web/20210604152455/https://query.prod.cms.rt.microsoft.com/cms/api/am/binary/RWyG1q
BMW Group Report 2020,BMW Group,,2020,https://web.archive.org/web/20210612122214/https://www.press.bmwgroup.com/global/article/attachment/T0327938EN/474234
Toyota Environmental Report 2020,Toyota Motor Corporation,,2020,https://web.archive.org/web/20201207141252/https://global.toyota/pages/global_toyota/sustainability/report/er/er20_en.pdf
H&M Group Sustainability Performance Report 2020,H&M Group,,2020,https://web.archive.org/web/20210402100805/https://hmgroup.com/wp-content/uploads/2021/03/HM-Group-Sustainability-Performance-Report-2020.pdf
H&M Group Sustainability Performance Report 2019,H&M Group,,2019,https://web.archive.org/web/20210226145216/https://hmgroup.com/wp-content/uploads/2020/10/HM-Group-Sustainability-Performance-Report-2019.pdf
RWE Sustainability Report 2020,RWE AG,,2020,https://web.archive.org/web/20210428113728/https://www.group.rwe/-/media/RWE/documents/09-verantwortung-nachhaltigkeit/cr-berichte/EN/cr-report-2020.pdf
Lufthansa Group Nachhaltigkeitsbericht 2019,Lufthansa Group,,2019,https://web.archive.org/web/20210123113109/https://www.lufthansagroup.com/media/downloads/de/verantwortung/LH-Nachhaltigkeitsbericht-2019.pdf
Adidas Green Company Performance Analysis 2020,Adidas AG,,2020,https://web.archive.org/web/20210623172541/https://www.adidas-group.com/media/filer_public/f8/10/f8105750-28cb-4a13-9e2c-7031785b2c92/adidas_gcr_2020_en.pdf
Nestlé’s Net Zero Roadmap,Nestlé S.A.,,2020,https://web.archive.org/web/20210507115302/https://www.nestle.com/sites/default/files/2020-12/nestle-net-zero-roadmap-en.pdf
EnBW Integrated Annual Report 2020 Extended Version,EnBW Energie Baden-Württemberg AG,,2020,https://web.archive.org/web/20210602215613/https://www.enbw.com/media/bericht/bericht_2020/downloads/integrated-annual-report-2020-extended-version.pdf
Apple Environmental Progress Report 2021,Apple Inc.,,2020,https://web.archive.org/web/20210426135445/https://www.apple.com/environment/pdf/Apple_Environmental_Progress_Report_2021.pdf
Shell Sustainability Report 2020,Royal Dutch Shell,,2020,https://web.archive.org/web/20210606185926/https://reports.shell.com/sustainability-report/2020/servicepages/downloads/files/shell-sustainability-report-2020.pdf
BP ESG datasheet 2020,BP plc,,2020,https://web.archive.org/web/20210416230754/https://www.bp.com/content/dam/bp/business-sites/en/global/corporate/pdfs/sustainability/group-reports/bp-esg-datasheet-2020.pdf
